stockname,tradeDay,high20,low20,high50,low50,high250,low250
00005,2025-08-29,102.3,95.3,102.3,91.05,102.3,65.75
00001,2025-08-29,53.3,49.5,54.6,46.65,54.6,37.45
00006,2025-08-29,53.4,50.15,53.4,49.85,55.35,45.6
00002,2025-08-29,68.3,65.8,68.65,65.35,73.2,60.45
00009,2025-08-29,0.0,0.0,0.0,0.0,0.0,0.0
00004,2025-08-29,23.9,21.3,24.95,21.3,24.95,17.02
00010,2025-08-29,14.53,13.46,14.9,11.68,14.9,8.41
00007,2025-08-29,0.0,0.0,0.0,0.0,0.0,0.0
00008,2025-08-29,5.61,5.24,5.83,5.08,5.83,4.2
00003,2025-08-29,7.29,6.89,7.29,6.58,7.3,5.84
