stockname,tradeDay,pr5,pr20,pr60,pr125,pr250,rsi14
00005,2025-08-29,0.993,1.021,1.013,1.043,1.062,52.348
00001,2025-08-29,1.0,0.991,1.063,1.213,0.881,52.211
00006,2025-08-29,1.016,0.97,0.917,0.903,0.682,46.195
00002,2025-08-29,1.008,0.95,0.937,0.953,0.681,40.722
00009,2025-08-29,1.009,0.975,0.945,inf,inf,56.569
00004,2025-08-29,1.027,0.998,0.96,1.133,0.792,49.553
00010,2025-08-29,0.993,0.937,1.123,1.145,1.146,43.45
00007,2025-08-29,1.009,0.975,0.945,inf,inf,56.569
00008,2025-08-29,1.001,0.913,0.948,1.068,0.872,34.059
00003,2025-08-29,1.013,0.985,0.942,1.053,0.789,50.376
